answerKey,id,A,B,C,D,stem,Grade,subject,category
C,ACTAAP_2008_5_16,feed on water plants,perform photosynthesis,eat snails and mosquito larvae,live in warm areas of the pond,The diagram below represents an aquatic food web. {img:images/States2017/AK/AK_Gr5_2008_3.png} What must the fish do to gain energy from the Sun?,5,science,Dev
D,LEAP__5_10328,the amount that each plant grew,the amount of food each plant received,the amount of water each plant received,the amount of sunlight each plant received,Use the data table below to answer the question. {img:images/States2017/LA/LA_no_year_5thGr_1.png} Maria grew four plants in an experiment about plant growth. The table shows the design and results of Maria's experiment. What was the independent variable in this investigation?,5,science,Dev
A,LEAP__5_10333,{img:images/States2017/LA/LA_no_year_5thGr_15.png},{img:images/States2017/LA/LA_no_year_5thGr_16.png},{img:images/States2017/LA/LA_no_year_5thGr_17.png},{img:images/States2017/LA/LA_no_year_5thGr_18.png},Which foot would most likely help a bird live in water?,5,science,Dev
C,LEAP__5_10335,{img:images/States2017/LA/LA_no_year_5thGr_3.png},{img:images/States2017/LA/LA_no_year_5thGr_4.png},{img:images/States2017/LA/LA_no_year_5thGr_5.png},{img:images/States2017/LA/LA_no_year_5thGr_6.png},A scientist was studying a mammal population. The data table below shows some of her results. {img:images/States2017/LA/LA_no_year_5thGr_2.png} Which graph best represents the information in the table?,5,science,Dev
A,MCAS_1998_4_21,plant,frog,rabbit,hawk,{img:images/States2017/Mass/Mass_4thGr_1998_19.png} What organism most likely belongs in the circle?,4,science,Dev
C,MCAS_1998_4_5,{img:images/States2017/Mass/Mass_4thGr_1998_3.png},{img:images/States2017/Mass/Mass_4thGr_1998_4.png},{img:images/States2017/Mass/Mass_4thGr_1998_5.png},{img:images/States2017/Mass/Mass_4thGr_1998_6.png},Which picture correctly shows where the shadow would be?,4,science,Dev
C,MCAS_1999_4_22,light energy only.,heat and mechanical energy.,light and heat energy.,light and mechanical energy.,{img:images/States2017/Mass/Mass_4thGr_1999_6.png} A light bulb changes electrical energy into,4,science,Dev
D,MCAS_2000_4_12,The glass was placed in the refrigerator for 10 minutes.,Cold water was added to the glass.,The glass was taken from a sunny place and put in a shady place.,The glass was placed in warm water.,Use the pictures to answer the question. Which might have happened to the glass in Picture A to cause the temperature to change as shown in Picture B? {img:images/States2017/Mass/Mass_4thGr_2000_5.png},4,science,Dev
A,MCAS_2001_5_1,evaporation,condensation,precipitation,groundwater,Use the diagram below to answer the question. {img:images/States2017/Mass/Mass_5thGr_2001_1.png} Which part of the water cycle is represented by arrow 3?,5,science,Dev
C,MCAS_2002_5_9,{img:images/States2017/Mass/Mass_5thGr_2002_10.png},{img:images/States2017/Mass/Mass_5thGr_2002_11.png},{img:images/States2017/Mass/Mass_5thGr_2002_12.png},{img:images/States2017/Mass/Mass_5thGr_2002_13.png},An engineer is trying to design a faster submarine. Which of the following animals would be most useful for the engineer to study?,5,science,Dev
B,MCAS_2003_5_23,absorb water.,make food.,protect flowers.,produce seeds.,The diagram below shows a plant. {img:images/States2017/Mass/Mass_5thGr_2003_33.png} The primary purpose of structure 3 is to,5,science,Dev
C,MCAS_2003_5_25,{img:images/States2017/Mass/Mass_5thGr_2003_34.png},{img:images/States2017/Mass/Mass_5thGr_2003_35.png},{img:images/States2017/Mass/Mass_5thGr_2003_36.png},{img:images/States2017/Mass/Mass_5thGr_2003_37.png},Which set of magnets shown below will be attracted to each other?,5,science,Dev
D,MCAS_2004_5_17,{img:images/States2017/Mass/Mass_5thGr_2004_12.png},{img:images/States2017/Mass/Mass_5thGr_2004_13.png},{img:images/States2017/Mass/Mass_5thGr_2004_14.png},{img:images/States2017/Mass/Mass_5thGr_2004_15.png},Which of the following objects will affect the direction that a compass needle points?,5,science,Dev
D,MCAS_2004_5_29,a lever.,a wedge.,a simple gear.,an inclined plane.,The picture shows a ladder leaning against a wall. {img:images/States2017/Mass/Mass_5thGr_2004_25.png} A person climbing this ladder is using the ladder as,5,science,Dev
B,MCAS_2004_5_31,to make food,to absorb water,to produce seeds,to release oxygen,The diagram below shows a bean seed that is beginning to germinate in soil. The first structure to emerge is labeled X. {img:images/States2017/Mass/Mass_5thGr_2004_26.png} What is the function of structure X?,5,science,Dev
C,MCAS_2005_5_20,calcite.,fluorite.,apatite.,topaz.,"Kendra has a mineral that she wants to identify. It is white in color, has a glassy luster, and has a hardness of 5. The table below shows some properties of selected minerals. {img:images/States2017/Mass/Mass_5thGr_2005_8.png} Based on the information in the table, Kendra's mineral is most similar to",5,science,Dev
A,MCAS_2006_5_10,fur,claws,big ears,webbed feet,The pictures below show animals from different parts of the world. {img:images/States2017/Mass/Mass_5thGr_2006_15.png} Which of the following characteristics do all of these animals have that allows them to be classified in the same group?,5,science,Dev
C,MCAS_2006_5_16,a wrench and a hammer,a hammer and a saw,a wrench and a screwdriver,a screwdriver and a saw,The picture below shows a nut and a bolt. {img:images/States2017/Mass/Mass_5thGr_2006_24.png} Which of the following hand tools would most likely be used to tighten this nut and bolt?,5,science,Dev
A,MCAS_2006_5_30,landslide,snowfall,wind erosion,volcanic eruption,The picture below shows the result of a geological event that changed a mountain rapidly. {img:images/States2017/Mass/Mass_5thGr_2006_45.png} Which of the following most likely caused the rapid change of the mountain?,5,science,Dev
B,MCAS_2006_5_36,insects that feed on plants,small fish in shallow water,nuts from riverside trees and plants,birds in ground nests,"The picture below shows a bird. {img:images/States2017/Mass/Mass_5thGr_2006_51.png} From the shape of its beak and the length of its legs, this bird is best adapted for feeding on which of the following?",5,science,Dev
D,MCAS_2006_5_4,color,dryness,hardness,strength,The picture below shows two trees and the beginning of a treehouse. {img:images/States2017/Mass/Mass_5thGr_2006_7.png} A group of friends is building a treehouse. They are using straight wooden boards to build a platform between two trees. Which of the following is the most important characteristic of the board they have put between the two trees?,5,science,Dev
B,MCAS_2016_5_10,The crane operator turns on a magnetic charge in the scrap metal.,The crane operator turns off an electric current in the electromagnet.,The crane operator sends out a signal that causes the train car to become an electromagnet.,The crane operator sends out a signal that blocks the magnetic properties of the scrap metal.,"A crane operator uses a crane with an electromagnet to move scrap metal over a train car, as shown below. {img:images/States2017/Mass/Mass_5thGr_2016_6.png} Which of the following statements describes what the crane operator does to drop the scrap metal into the train car?",5,science,Dev
